user_id,business_id,name,neighborhood,stars
Y76nS3L426UCz7N_1pUfUQ,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,4
jierO7pbroyHWTjDDhMubQ,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,3
CZs1Eq7t1fqpXV1yox-CVg,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,4
Zqk-ye_OHeH_sS1JsdsLgg,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,4
2xoQviFaWZyVtvcxUsD1Xw,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,3
fVh5YZ4acN8mLqJBS8Q_Kg,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
xxI7Yz6jYRIgsatip7NoZQ,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,4
8lL-554wLEOxCrroFa4aeg,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
3wB-JjsUjkvdNUDRnChsVg,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,2
3wB-JjsUjkvdNUDRnChsVg,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,4
3wB-JjsUjkvdNUDRnChsVg,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
wrZOLGBk5kLs4mnEijSEZw,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,5
m8nDqQ7a3zQWfkNK1_vwnQ,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,5
-hxUwfo3cMnLTv-CAaP69A,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,3
-hxUwfo3cMnLTv-CAaP69A,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,3
LWym-jt0No9S5INdISPgUA,pik4ebdFa0UcUhnNkivFcg,"""Carmine's Italian Restaurant - Las Vegas""",The Strip,4
vsycMyAF-KPR7jsMJXbIEw,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,4
rTP_xCgLW691is5U9Pw3OA,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,4
xP1IYu2eGfxMWV9tjrurIw,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,4
dfSYbfNcN2xV4IoR2QqDCw,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,2
DQYMtGFO1-DUGB0yX3a4Qg,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
aerGPzZggTV_KGOzaemG3Q,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,2
mxwMqra7TEZ6K4ML3DgPmA,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
JXHrhT72U6sZJQSkFfNzjw,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,2
JXHrhT72U6sZJQSkFfNzjw,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,5
pnl0f96Q1ge8LmQbZ3lYWQ,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,1
JlwWHBFT76iSJe5mWIcZ4A,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
aD263WOD4RShoqgvVhcKqQ,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
3sBwgZwlReW5koErzBFhLw,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,4
myzqUU3QKOrRihONZ7LqmQ,pik4ebdFa0UcUhnNkivFcg,"""Carmine's Italian Restaurant - Las Vegas""",The Strip,5
Vi5tkhwsnQd9b7W3Y4hFmQ,pik4ebdFa0UcUhnNkivFcg,"""Carmine's Italian Restaurant - Las Vegas""",The Strip,4
TQHiVTP-g3mYyDxwv784_A,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
eRi1tFtC0wk96JRK6suMrg,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,3
hqTKSWOdOK7d3IMciHvZxQ,pik4ebdFa0UcUhnNkivFcg,"""Carmine's Italian Restaurant - Las Vegas""",The Strip,1
kE6iPQ_V5CioWX872vPQaw,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
srfI-CaiKekRspL1CeU-Bw,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,3
yVbkCC9YVJ01Y6Hz5v3C8A,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,5
GnfXMcbFNEtE5oMUHINdnw,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,5
BhkkJQbSy_womFDYIYTgQg,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,2
cmAOi-jtZi8idHo9cpjUvA,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,5
XYmzsPTqWacTGxuvBHPnlA,pik4ebdFa0UcUhnNkivFcg,"""Carmine's Italian Restaurant - Las Vegas""",The Strip,1
On07LboilFAEaDARXKOQCA,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,5
4eFwyVYwILISHh4eGUQsBQ,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,5
DaEuyn1GgLeZ3Jn-bcZnvA,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,4
KxrKVxdXGkfMJ9XwJZzoLQ,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,3
LuO3Bn4f3rlhyHIaNfTlnA,pKk7jCFIm96qDdk0laVT2w,"""StripSteak""",The Strip,5
TasQXfy038MqNOd2uCDPXQ,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,5
AXKAPbhr0O9XHGPfhruAhw,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,4
r3uDOovs5SypG5GKv5-FVg,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
YwaKGmRNnSa3R3N4Hf9jLw,u-67zd1ImTv3EEr5kIdWrA,"""House of Blues - Music Venue""",The Strip,4
i86XXjLN3e0sOl6MD_qzDw,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
mqzisCyZ_tlpQt6HkNnhOw,Cni2l-VKG_pdospJ6xliXQ,"""Burger Bar""",The Strip,3
KZYByy2aD1lPfvVQcyOJmg,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,1
FVLaz-4v1g11hKCtD-N6lQ,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,5
I92rbN5La6UqlVO1E8Af3A,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,2
GEmSOw8sOipSn4oa5WeKQA,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,4
1PAYxBmN4iOcrh5p-vS2Ag,7fxebHYUwIF6CakxSr70iQ,"""Carnevino""",The Strip,4
NZoik0wEOHhwf8onr0AA3w,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,5
zeI_flqkFhz38fGTzP6UFA,CCRgGKhzxSpl38w7yhqKUw,"""Noodles""",The Strip,4
